date,product_id,impressions,visitors,add_to_cart
2026-05-23,P001,4277,611,83
2026-05-23,P002,4256,532,88
2026-05-23,P003,5764,524,57
2026-05-23,P004,3017,431,53
2026-05-23,P005,4020,402,65
2026-05-23,P006,2792,349,48
2026-05-23,P007,2853,317,39
2026-05-23,P008,2128,266,37
2026-05-24,P001,6457,587,71
2026-05-24,P002,5180,518,73
2026-05-24,P003,3976,497,85
2026-05-24,P004,3325,475,66
2026-05-24,P005,4510,410,73
2026-05-24,P006,3410,341,35
2026-05-24,P007,2688,336,50
2026-05-24,P008,1848,264,28
2026-05-25,P001,5270,527,75
2026-05-25,P002,4670,467,74
2026-05-25,P003,2849,407,65
2026-05-25,P004,3312,414,42
2026-05-25,P005,2712,339,34
2026-05-25,P006,3150,315,29
2026-05-25,P007,3240,270,40
2026-05-25,P008,2450,245,30
2026-05-26,P001,3612,516,63
2026-05-26,P002,5856,488,70
2026-05-26,P003,4050,450,62
2026-05-26,P004,3861,429,75
2026-05-26,P005,3760,376,38
2026-05-26,P006,2691,299,44
2026-05-26,P007,2475,275,41
2026-05-26,P008,2540,254,37
2026-05-27,P001,3668,524,53
2026-05-27,P002,3832,479,74
2026-05-27,P003,4280,428,58
2026-05-27,P004,4356,363,50
2026-05-27,P005,4212,351,53
2026-05-27,P006,3150,315,38
2026-05-27,P007,3336,278,27
2026-05-27,P008,2200,275,43
2026-05-28,P001,5269,479,78
2026-05-28,P002,4024,503,77
2026-05-28,P003,5496,458,68
2026-05-28,P004,4120,412,45
2026-05-28,P005,2303,329,34
2026-05-28,P006,3576,298,44
2026-05-28,P007,2392,299,32
2026-05-28,P008,1547,221,32
2026-05-29,P001,5400,540,81
2026-05-29,P002,5580,465,63
2026-05-29,P003,3320,415,38
2026-05-29,P004,5076,423,73
2026-05-29,P005,2310,330,37
2026-05-29,P006,3380,338,57
2026-05-29,P007,2520,315,36
2026-05-29,P008,2856,238,24
2026-05-30,P001,6842,622,68
2026-05-30,P002,6660,555,92
2026-05-30,P003,6228,519,90
2026-05-30,P004,4257,473,52
2026-05-30,P005,4752,432,70
2026-05-30,P006,2408,344,36
2026-05-30,P007,4272,356,61
2026-05-30,P008,1967,281,27
2026-05-31,P001,6984,582,100
2026-05-31,P002,4011,573,73
2026-05-31,P003,5784,482,69
2026-05-31,P004,5220,435,69
2026-05-31,P005,4851,441,50
2026-05-31,P006,2800,350,34
2026-05-31,P007,2520,315,56
2026-05-31,P008,3223,293,33
2026-06-01,P001,3731,533,72
2026-06-01,P002,4820,482,69
2026-06-01,P003,2975,425,45
2026-06-01,P004,3320,415,61
2026-06-01,P005,3555,395,58
2026-06-01,P006,3078,342,48
2026-06-01,P007,3180,265,36
2026-06-01,P008,2620,262,30
2026-06-02,P001,4980,498,73
2026-06-02,P002,4470,447,47
2026-06-02,P003,4290,429,45
2026-06-02,P004,4968,414,66
2026-06-02,P005,2992,374,49
2026-06-02,P006,2848,356,47
2026-06-02,P007,2660,266,46
2026-06-02,P008,2313,257,45
2026-06-03,P001,4224,528,64
2026-06-03,P002,4550,455,41
2026-06-03,P003,4968,414,50
2026-06-03,P004,4268,388,65
2026-06-03,P005,4320,360,34
2026-06-03,P006,4128,344,56
2026-06-03,P007,3000,300,45
2026-06-03,P008,2520,252,25
2026-06-04,P001,6504,542,63
2026-06-04,P002,3591,513,67
2026-06-04,P003,3852,428,68
2026-06-04,P004,4536,378,58
2026-06-04,P005,4488,374,65
2026-06-04,P006,2303,329,48
2026-06-04,P007,3146,286,42
2026-06-04,P008,2827,257,42
2026-06-05,P001,5797,527,92
2026-06-05,P002,3311,473,72
2026-06-05,P003,4730,473,53
2026-06-05,P004,4070,370,33
2026-06-05,P005,4548,379,66
2026-06-05,P006,3380,338,49
2026-06-05,P007,2637,293,29
2026-06-05,P008,2840,284,36
2026-06-06,P001,4039,577,85
2026-06-06,P002,3983,569,84
2026-06-06,P003,4940,494,76
2026-06-06,P004,4239,471,69
2026-06-06,P005,4488,408,65
2026-06-06,P006,3850,350,53
2026-06-06,P007,4140,345,58
2026-06-06,P008,3102,282,33
2026-06-07,P001,5229,581,96
2026-06-07,P002,4109,587,97
2026-06-07,P003,3822,546,60
2026-06-07,P004,4536,504,65
2026-06-07,P005,2982,426,43
2026-06-07,P006,3208,401,65
2026-06-07,P007,2576,368,38
2026-06-07,P008,2177,311,49
2026-06-08,P001,4930,493,82
2026-06-08,P002,4700,470,79
2026-06-08,P003,4710,471,61
2026-06-08,P004,4120,412,50
2026-06-08,P005,2604,372,62
2026-06-08,P006,3040,304,41
2026-06-08,P007,2592,324,51
2026-06-08,P008,1813,259,33
2026-06-09,P001,3465,495,53
2026-06-09,P002,6108,509,71
2026-06-09,P003,5448,454,75
2026-06-09,P004,3456,384,59
2026-06-09,P005,3160,395,66
2026-06-09,P006,2970,297,30
2026-06-09,P007,3575,325,33
2026-06-09,P008,3336,278,28
2026-06-10,P001,4456,557,58
2026-06-10,P002,5856,488,81
2026-06-10,P003,4972,452,71
2026-06-10,P004,5232,436,59
2026-06-10,P005,2730,390,37
2026-06-10,P006,4128,344,50
2026-06-10,P007,3372,281,30
2026-06-10,P008,2288,286,44
2026-06-11,P001,5230,523,61
2026-06-11,P002,5720,520,88
2026-06-11,P003,4631,421,52
2026-06-11,P004,4642,422,53
2026-06-11,P005,4416,368,49
2026-06-11,P006,4140,345,45
2026-06-11,P007,3780,315,37
2026-06-11,P008,2900,290,43
2026-06-12,P001,6017,547,63
2026-06-12,P002,5170,470,57
2026-06-12,P003,3712,464,78
2026-06-12,P004,3402,378,38
2026-06-12,P005,3470,347,42
2026-06-12,P006,3443,313,45
2026-06-12,P007,2191,313,53
2026-06-12,P008,1939,277,30
2026-06-13,P001,5616,624,58
2026-06-13,P002,6534,594,89
2026-06-13,P003,6480,540,87
2026-06-13,P004,4248,472,59
2026-06-13,P005,4122,458,75
2026-06-13,P006,2842,406,39
2026-06-13,P007,2961,329,44
2026-06-13,P008,3564,324,53
2026-06-14,P001,6347,577,61
2026-06-14,P002,4504,563,85
2026-06-14,P003,3633,519,67
2026-06-14,P004,4540,454,45
2026-06-14,P005,3227,461,47
2026-06-14,P006,3112,389,41
2026-06-14,P007,3120,312,31
2026-06-14,P008,2160,270,44
2026-06-15,P001,3992,499,46
2026-06-15,P002,4640,464,62
2026-06-15,P003,3632,454,56
2026-06-15,P004,4411,401,41
2026-06-15,P005,3114,346,60
2026-06-15,P006,3916,356,63
2026-06-15,P007,3708,309,51
2026-06-15,P008,2044,292,28
2026-06-16,P001,4208,526,82
2026-06-16,P002,3944,493,65
2026-06-16,P003,3780,420,48
2026-06-16,P004,4992,416,43
2026-06-16,P005,2583,369,63
2026-06-16,P006,3839,349,61
2026-06-16,P007,3100,310,31
2026-06-16,P008,2268,252,28
2026-06-17,P001,6384,532,82
2026-06-17,P002,5280,480,61
2026-06-17,P003,4400,440,58
2026-06-17,P004,4697,427,57
2026-06-17,P005,2877,411,68
2026-06-17,P006,3960,330,38
2026-06-17,P007,2480,310,51
2026-06-17,P008,2320,290,40
2026-06-18,P001,4896,544,72
2026-06-18,P002,5511,501,74
2026-06-18,P003,3400,425,52
2026-06-18,P004,2842,406,55
2026-06-18,P005,3429,381,40
2026-06-18,P006,4008,334,56
2026-06-18,P007,3228,269,27
2026-06-18,P008,2358,262,46
2026-06-19,P001,6408,534,70
2026-06-19,P002,4590,510,54
2026-06-19,P003,3728,466,42
2026-06-19,P004,3465,385,63
2026-06-19,P005,3820,382,66
2026-06-19,P006,2456,307,44
2026-06-19,P007,3135,285,41
2026-06-19,P008,3096,258,29
2026-06-20,P001,6360,636,65
2026-06-20,P002,4672,584,78
2026-06-20,P003,3696,528,59
2026-06-20,P004,5808,484,65
2026-06-20,P005,4972,452,51
2026-06-20,P006,4200,420,62
2026-06-20,P007,2191,313,45
2026-06-20,P008,3888,324,44
2026-06-21,P001,4410,630,98
2026-06-21,P002,5373,597,58
2026-06-21,P003,3500,500,89
2026-06-21,P004,5160,516,89
2026-06-21,P005,3213,459,73
2026-06-21,P006,2758,394,70
2026-06-21,P007,2562,366,39
2026-06-21,P008,3792,316,48
2026-06-22,P001,3724,532,69
2026-06-22,P002,5100,510,59
2026-06-22,P003,3437,491,45
2026-06-22,P004,3400,425,50
2026-06-22,P005,3114,346,61
2026-06-22,P006,2576,368,60
2026-06-22,P007,2320,290,32
2026-06-22,P008,2367,263,26
2026-06-23,P001,5570,557,66
2026-06-23,P002,5688,474,78
2026-06-23,P003,4697,427,69
2026-06-23,P004,2723,389,55
2026-06-23,P005,4015,365,53
2026-06-23,P006,3905,355,36
2026-06-23,P007,3124,284,49
2026-06-23,P008,2009,287,32
2026-06-24,P001,4869,541,88
2026-06-24,P002,3633,519,88
2026-06-24,P003,3840,480,45
2026-06-24,P004,4356,396,40
2026-06-24,P005,3195,355,46
2026-06-24,P006,2632,329,46
2026-06-24,P007,1953,279,42
2026-06-24,P008,1764,252,27
2026-06-25,P001,5040,504,86
2026-06-25,P002,4608,512,58
2026-06-25,P003,3241,463,72
2026-06-25,P004,3861,429,73
2026-06-25,P005,3195,355,58
2026-06-25,P006,3972,331,37
2026-06-25,P007,2456,307,34
2026-06-25,P008,3444,287,28
2026-06-26,P001,4941,549,87
2026-06-26,P002,4690,469,78
2026-06-26,P003,4760,476,69
2026-06-26,P004,3440,430,71
2026-06-26,P005,2919,417,62
2026-06-26,P006,3530,353,45
2026-06-26,P007,2493,277,31
2026-06-26,P008,2620,262,25
2026-06-27,P001,5490,610,85
2026-06-27,P002,6090,609,107
2026-06-27,P003,5031,559,74
2026-06-27,P004,4120,515,63
2026-06-27,P005,5724,477,50
2026-06-27,P006,4180,380,55
2026-06-27,P007,2520,360,34
2026-06-27,P008,2051,293,47
2026-06-28,P001,5868,652,67
2026-06-28,P002,3906,558,60
2026-06-28,P003,6228,519,55
2026-06-28,P004,5753,523,63
2026-06-28,P005,5556,463,46
2026-06-28,P006,4644,387,63
2026-06-28,P007,4092,372,64
2026-06-28,P008,2176,272,45
2026-06-29,P001,4616,577,77
2026-06-29,P002,3776,472,55
2026-06-29,P003,3897,433,55
2026-06-29,P004,4774,434,43
2026-06-29,P005,3839,349,38
2026-06-29,P006,2672,334,59
2026-06-29,P007,2192,274,31
2026-06-29,P008,2100,300,28
2026-06-30,P001,4496,562,85
2026-06-30,P002,4266,474,45
2026-06-30,P003,4338,482,53
2026-06-30,P004,5100,425,58
2026-06-30,P005,2520,360,51
2026-06-30,P006,2799,311,46
2026-06-30,P007,3476,316,31
2026-06-30,P008,2761,251,24
2026-07-01,P001,6264,522,84
2026-07-01,P002,5060,506,81
2026-07-01,P003,5520,460,69
2026-07-01,P004,4389,399,38
2026-07-01,P005,2583,369,64
2026-07-01,P006,4044,337,45
2026-07-01,P007,3113,283,41
2026-07-01,P008,2412,268,31
2026-07-02,P001,5230,523,89
2026-07-02,P002,4176,522,77
2026-07-02,P003,4660,466,72
2026-07-02,P004,3424,428,52
2026-07-02,P005,3880,388,63
2026-07-02,P006,3650,365,36
2026-07-02,P007,3696,336,34
2026-07-02,P008,1992,249,41
2026-07-03,P001,6391,581,98
2026-07-03,P002,6240,520,75
2026-07-03,P003,3544,443,51
2026-07-03,P004,3735,415,48
2026-07-03,P005,4378,398,67
2026-07-03,P006,3140,314,44
2026-07-03,P007,3370,337,33
2026-07-03,P008,2510,251,40
2026-07-04,P001,8040,670,96
2026-07-04,P002,7308,609,75
2026-07-04,P003,3969,567,91
2026-07-04,P004,3598,514,50
2026-07-04,P005,3178,454,68
2026-07-04,P006,2984,373,46
2026-07-04,P007,4668,389,52
2026-07-04,P008,2368,296,27
2026-07-05,P001,7944,662,105
2026-07-05,P002,7476,623,62
2026-07-05,P003,4560,570,95
2026-07-05,P004,4024,503,62
2026-07-05,P005,3656,457,48
2026-07-05,P006,2870,410,44
2026-07-05,P007,2840,355,62
2026-07-05,P008,2880,320,29
2026-07-06,P001,5660,566,69
2026-07-06,P002,4360,545,76
2026-07-06,P003,3568,446,63
2026-07-06,P004,3432,429,73
2026-07-06,P005,2485,355,62
2026-07-06,P006,3350,335,54
2026-07-06,P007,2673,297,43
2026-07-06,P008,2296,287,31
2026-07-07,P001,5797,527,55
2026-07-07,P002,5852,532,64
2026-07-07,P003,4730,473,62
2026-07-07,P004,4477,407,44
2026-07-07,P005,4587,417,52
2026-07-07,P006,3240,324,46
2026-07-07,P007,3410,310,31
2026-07-07,P008,3168,288,42
2026-07-08,P001,7044,587,96
2026-07-08,P002,5370,537,86
2026-07-08,P003,4500,500,60
2026-07-08,P004,4580,458,73
2026-07-08,P005,4444,404,39
2026-07-08,P006,3520,352,35
2026-07-08,P007,2488,311,31
2026-07-08,P008,2360,236,21
2026-07-09,P001,5680,568,73
2026-07-09,P002,5290,529,92
2026-07-09,P003,5170,470,83
2026-07-09,P004,3560,445,40
2026-07-09,P005,3519,391,64
2026-07-09,P006,2310,330,55
2026-07-09,P007,3320,332,29
2026-07-09,P008,2008,251,42
2026-07-10,P001,6105,555,62
2026-07-10,P002,5984,544,83
2026-07-10,P003,5844,487,78
2026-07-10,P004,3627,403,38
2026-07-10,P005,3744,416,39
2026-07-10,P006,3972,331,30
2026-07-10,P007,2401,343,44
2026-07-10,P008,2272,284,48
2026-07-11,P001,7824,652,100
2026-07-11,P002,6897,627,97
2026-07-11,P003,4312,539,50
2026-07-11,P004,5698,518,91
2026-07-11,P005,3861,429,49
2026-07-11,P006,4609,419,65
2026-07-11,P007,4380,365,50
2026-07-11,P008,3113,283,45
2026-07-12,P001,6048,672,93
2026-07-12,P002,5526,614,59
2026-07-12,P003,4046,578,56
2026-07-12,P004,4680,520,77
2026-07-12,P005,4920,492,49
2026-07-12,P006,3224,403,46
2026-07-12,P007,4680,390,48
2026-07-12,P008,3588,299,51
2026-07-13,P001,5650,565,60
2026-07-13,P002,3759,537,73
2026-07-13,P003,5712,476,49
2026-07-13,P004,3720,465,67
2026-07-13,P005,3393,377,40
2026-07-13,P006,3015,335,45
2026-07-13,P007,3212,292,46
2026-07-13,P008,1960,280,43
2026-07-14,P001,4797,533,65
2026-07-14,P002,5360,536,73
2026-07-14,P003,3680,460,70
2026-07-14,P004,3052,436,39
2026-07-14,P005,4740,395,57
2026-07-14,P006,3828,348,55
2026-07-14,P007,3110,311,53
2026-07-14,P008,2860,260,45
2026-07-15,P001,16950,2125,128
2026-07-15,P002,10250,1170,113
2026-07-15,P003,13100,1530,141
2026-07-15,P004,7200,760,62
2026-07-15,P005,5600,590,42
2026-07-15,P006,8400,1180,74
2026-07-15,P007,8050,845,48
2026-07-15,P008,9200,980,53
