date,product_id,impressions,clicks,visitors,add_to_cart,checkout,paid_orders,refunded_orders
2026-04-23,P001,5652,664,471,71,56,32,1
2026-04-23,P002,5181,566,471,65,43,31,1
2026-04-23,P003,3200,269,400,67,50,22,1
2026-04-23,P004,3184,251,398,44,30,22,1
2026-04-23,P005,2443,263,349,60,48,17,1
2026-04-23,P006,2826,214,314,40,25,13,0
2026-04-23,P007,2160,254,270,24,19,12,1
2026-04-23,P008,2180,229,218,38,25,10,0
2026-04-24,P001,3297,274,471,72,47,33,1
2026-04-24,P002,3408,274,426,44,30,25,0
2026-04-24,P003,5124,494,427,40,28,22,0
2026-04-24,P004,3033,336,337,43,30,17,0
2026-04-24,P005,3960,490,360,46,36,19,0
2026-04-24,P006,2254,187,322,57,38,13,1
2026-04-24,P007,2959,278,269,42,28,10,1
2026-04-24,P008,1715,161,245,25,19,8,1
2026-04-25,P001,6732,491,561,56,38,39,1
2026-04-25,P002,5070,640,507,71,51,33,1
2026-04-25,P003,3346,393,478,72,58,25,0
2026-04-25,P004,3690,411,410,70,56,23,1
2026-04-25,P005,2555,330,365,46,31,18,1
2026-04-25,P006,2898,333,322,53,36,15,0
2026-04-25,P007,3240,373,324,40,32,15,1
2026-04-25,P008,1936,187,242,36,23,10,0
2026-04-26,P001,4806,580,534,65,47,31,1
2026-04-26,P002,3864,406,483,77,57,28,1
2026-04-26,P003,3960,298,495,65,46,27,1
2026-04-26,P004,4610,429,461,76,62,26,1
2026-04-26,P005,2863,282,409,41,31,20,1
2026-04-26,P006,2848,201,356,58,42,17,1
2026-04-26,P007,3720,312,310,39,30,13,1
2026-04-26,P008,3252,332,271,47,35,8,1
2026-04-27,P001,4338,424,482,55,34,28,1
2026-04-27,P002,4120,471,412,47,37,26,1
2026-04-27,P003,4708,350,428,46,36,25,1
2026-04-27,P004,3830,391,383,47,32,22,1
2026-04-27,P005,4416,419,368,56,39,17,0
2026-04-27,P006,3696,462,308,52,42,16,1
2026-04-27,P007,2717,202,247,27,16,11,0
2026-04-27,P008,2211,155,201,24,17,9,0
2026-04-28,P001,4008,364,501,74,54,35,1
2026-04-28,P002,4598,453,418,69,44,25,0
2026-04-28,P003,4140,384,414,73,45,26,0
2026-04-28,P004,3141,294,349,33,24,20,1
2026-04-28,P005,2513,183,359,42,30,18,1
2026-04-28,P006,2745,214,305,30,21,12,1
2026-04-28,P007,2493,311,277,26,18,13,0
2026-04-28,P008,2460,282,205,19,13,8,1
2026-04-29,P001,3584,367,512,63,48,33,1
2026-04-29,P002,5269,426,479,69,50,32,1
2026-04-29,P003,3970,482,397,68,48,22,1
2026-04-29,P004,3213,358,357,42,34,17,1
2026-04-29,P005,4404,390,367,35,25,17,1
2026-04-29,P006,3972,400,331,57,45,16,1
2026-04-29,P007,1771,214,253,37,27,11,0
2026-04-29,P008,2916,355,243,26,17,10,1
2026-04-30,P001,4640,412,464,41,30,27,1
2026-04-30,P002,4630,483,463,46,36,25,0
2026-04-30,P003,5352,624,446,58,45,29,1
2026-04-30,P004,4136,451,376,54,45,18,1
2026-04-30,P005,3312,314,368,33,23,18,1
2026-04-30,P006,2176,157,272,27,21,12,0
2026-04-30,P007,2016,260,252,43,35,11,1
2026-04-30,P008,2940,324,245,39,30,11,1
2026-05-01,P001,5748,635,479,52,38,34,1
2026-05-01,P002,5268,627,439,75,58,26,1
2026-05-01,P003,4873,419,443,57,46,26,0
2026-05-01,P004,3861,382,351,49,39,19,0
2026-05-01,P005,3357,332,373,35,21,18,0
2026-05-01,P006,3696,364,336,46,30,15,1
2026-05-01,P007,2394,303,266,34,27,11,0
2026-05-01,P008,2475,269,225,20,14,10,1
2026-05-02,P001,3899,398,557,57,41,35,0
2026-05-02,P002,5808,716,484,66,48,30,0
2026-05-02,P003,5544,571,504,89,59,30,1
2026-05-02,P004,4400,321,440,50,39,22,1
2026-05-02,P005,4100,338,410,59,47,20,0
2026-05-02,P006,3000,287,375,45,31,14,1
2026-05-02,P007,2728,349,341,54,39,15,0
2026-05-02,P008,3600,349,300,46,29,10,1
2026-05-03,P001,3829,430,547,91,68,40,1
2026-05-03,P002,6300,493,525,60,38,32,1
2026-05-03,P003,4248,411,472,76,57,25,0
2026-05-03,P004,3312,250,414,49,38,19,1
2026-05-03,P005,4944,636,412,61,45,18,0
2026-05-03,P006,4301,439,391,50,31,20,1
2026-05-03,P007,3756,401,313,31,21,12,0
2026-05-03,P008,2570,213,257,44,29,9,1
2026-05-04,P001,5110,494,511,54,43,38,0
2026-05-04,P002,3276,422,468,54,40,29,1
2026-05-04,P003,4764,351,397,57,46,21,0
2026-05-04,P004,3256,235,407,51,39,19,1
2026-05-04,P005,4512,513,376,50,31,17,1
2026-05-04,P006,3179,305,289,36,26,14,1
2026-05-04,P007,2650,228,265,39,32,12,1
2026-05-04,P008,1904,160,238,37,28,10,1
2026-05-05,P001,4482,496,498,50,37,34,1
2026-05-05,P002,3933,477,437,57,47,29,1
2026-05-05,P003,3224,417,403,46,31,25,1
2026-05-05,P004,3267,274,363,41,31,22,0
2026-05-05,P005,3006,214,334,30,19,14,1
2026-05-05,P006,2745,239,305,38,24,13,1
2026-05-05,P007,1729,218,247,35,27,10,0
2026-05-05,P008,1848,227,264,41,26,11,1
2026-05-06,P001,4112,306,514,64,48,33,0
2026-05-06,P002,4642,451,422,65,54,29,1
2026-05-06,P003,3735,300,415,61,42,23,1
2026-05-06,P004,3256,231,407,65,52,23,0
2026-05-06,P005,3276,299,364,35,29,20,0
2026-05-06,P006,3828,422,319,54,34,16,1
2026-05-06,P007,2349,261,261,25,18,11,0
2026-05-06,P008,2380,266,238,32,26,8,1
2026-05-07,P001,3744,375,468,80,56,33,0
2026-05-07,P002,4540,588,454,51,34,29,1
2026-05-07,P003,4450,363,445,67,43,28,1
2026-05-07,P004,2784,251,348,56,42,16,0
2026-05-07,P005,3231,273,359,58,42,16,1
2026-05-07,P006,2360,256,295,50,40,15,0
2026-05-07,P007,3204,282,267,39,28,12,0
2026-05-07,P008,2070,233,207,27,21,7,1
2026-05-08,P001,5423,412,493,47,33,29,0
2026-05-08,P002,4311,460,479,74,56,31,1
2026-05-08,P003,4300,541,430,46,32,27,0
2026-05-08,P004,4345,505,395,61,50,22,0
2026-05-08,P005,4125,529,375,52,39,21,1
2026-05-08,P006,2988,325,332,38,24,15,1
2026-05-08,P007,2358,242,262,33,27,11,1
2026-05-08,P008,1428,175,204,35,27,7,1
2026-05-09,P001,5229,602,581,102,84,43,1
2026-05-09,P002,3857,443,551,62,51,36,1
2026-05-09,P003,5390,679,490,85,65,32,1
2026-05-09,P004,4994,611,454,56,42,24,0
2026-05-09,P005,3519,293,391,59,47,16,1
2026-05-09,P006,3008,297,376,52,38,14,0
2026-05-09,P007,2051,195,293,49,30,12,1
2026-05-09,P008,2044,245,292,35,22,9,1
2026-05-10,P001,4552,520,569,57,44,35,1
2026-05-10,P002,4626,571,514,75,50,35,0
2026-05-10,P003,3486,444,498,78,65,28,1
2026-05-10,P004,3616,459,452,78,64,22,0
2026-05-10,P005,5244,667,437,67,53,21,1
2026-05-10,P006,3750,421,375,61,47,15,1
2026-05-10,P007,2304,242,288,49,40,14,1
2026-05-10,P008,2344,242,293,43,28,12,1
2026-05-11,P001,3304,240,472,43,31,30,1
2026-05-11,P002,3424,353,428,70,54,26,0
2026-05-11,P003,3143,249,449,47,29,26,1
2026-05-11,P004,3264,421,408,68,49,23,1
2026-05-11,P005,3630,312,330,45,31,14,1
2026-05-11,P006,3360,265,280,28,18,13,1
2026-05-11,P007,2916,259,243,26,20,8,1
2026-05-11,P008,2748,328,229,35,27,7,1
2026-05-12,P001,3680,290,460,68,42,27,0
2026-05-12,P002,5148,511,468,75,62,32,1
2026-05-12,P003,5316,408,443,76,53,26,1
2026-05-12,P004,2534,238,362,52,33,20,1
2026-05-12,P005,3015,308,335,49,33,15,0
2026-05-12,P006,2907,236,323,55,43,12,0
2026-05-12,P007,3336,383,278,46,29,10,1
2026-05-12,P008,1820,194,260,38,23,8,1
2026-05-13,P001,4392,498,488,78,60,34,1
2026-05-13,P002,3861,323,429,74,60,25,1
2026-05-13,P003,3608,299,451,66,49,25,1
2026-05-13,P004,3456,396,384,56,37,19,1
2026-05-13,P005,3015,231,335,37,25,15,0
2026-05-13,P006,3399,378,309,49,33,12,0
2026-05-13,P007,2820,255,282,37,23,14,1
2026-05-13,P008,3025,346,275,32,23,8,0
2026-05-14,P001,5652,521,471,49,39,34,1
2026-05-14,P002,3880,455,485,50,31,26,0
2026-05-14,P003,3208,343,401,45,35,23,1
2026-05-14,P004,4455,560,405,55,41,24,1
2026-05-14,P005,3420,437,342,39,24,16,1
2026-05-14,P006,3575,403,325,33,22,17,1
2026-05-14,P007,1952,174,244,32,24,10,1
2026-05-14,P008,2070,218,230,27,21,7,1
2026-05-15,P001,5302,637,482,73,54,31,1
2026-05-15,P002,5214,485,474,52,42,33,0
2026-05-15,P003,4884,546,407,50,41,24,0
2026-05-15,P004,3184,296,398,56,37,22,1
2026-05-15,P005,2401,265,343,59,44,19,1
2026-05-15,P006,3388,431,308,50,35,14,0
2026-05-15,P007,2093,257,299,49,39,14,1
2026-05-15,P008,2580,325,258,27,17,11,1
2026-05-16,P001,4193,494,599,88,64,36,1
2026-05-16,P002,3605,316,515,54,37,28,0
2026-05-16,P003,3696,374,462,81,60,25,1
2026-05-16,P004,4330,346,433,51,41,25,0
2026-05-16,P005,2709,323,387,47,37,21,0
2026-05-16,P006,2920,259,365,62,43,18,1
2026-05-16,P007,2790,246,310,43,34,11,0
2026-05-16,P008,2520,239,280,34,22,8,1
2026-05-17,P001,4872,471,609,55,40,44,0
2026-05-17,P002,6528,776,544,63,40,33,1
2026-05-17,P003,4500,511,500,65,50,29,1
2026-05-17,P004,3942,359,438,47,34,24,1
2026-05-17,P005,4120,294,412,41,26,24,1
2026-05-17,P006,2681,231,383,45,35,20,1
2026-05-17,P007,3740,390,340,30,24,13,1
2026-05-17,P008,1869,132,267,39,28,11,1
2026-05-18,P001,5797,473,527,88,67,31,1
2026-05-18,P002,5376,563,448,51,42,24,0
2026-05-18,P003,2947,217,421,68,47,25,1
2026-05-18,P004,3610,288,361,56,41,21,1
2026-05-18,P005,3718,441,338,60,48,17,0
2026-05-18,P006,3729,387,339,56,41,14,1
2026-05-18,P007,2637,189,293,28,23,14,1
2026-05-18,P008,1896,163,237,41,27,7,0
2026-05-19,P001,4203,352,467,58,37,27,0
2026-05-19,P002,5640,678,470,51,36,30,1
2026-05-19,P003,3122,348,446,52,34,29,1
2026-05-19,P004,3296,240,412,48,31,23,1
2026-05-19,P005,3384,424,376,56,35,20,1
2026-05-19,P006,2272,252,284,36,28,13,0
2026-05-19,P007,3421,414,311,49,33,14,0
2026-05-19,P008,2673,334,243,37,28,10,0
2026-05-20,P001,5916,490,493,69,52,32,1
2026-05-20,P002,4840,623,440,72,53,29,0
2026-05-20,P003,3272,381,409,39,31,26,1
2026-05-20,P004,3750,375,375,51,34,21,0
2026-05-20,P005,2696,322,337,46,34,17,1
2026-05-20,P006,2002,151,286,48,36,11,1
2026-05-20,P007,2421,254,269,47,30,10,1
2026-05-20,P008,2096,204,262,44,34,9,1
2026-05-21,P001,4626,555,514,72,46,33,0
2026-05-21,P002,3656,370,457,59,46,29,0
2026-05-21,P003,3472,402,434,69,52,23,1
2026-05-21,P004,3600,396,360,54,37,22,0
2026-05-21,P005,4452,576,371,49,37,20,0
2026-05-21,P006,2910,377,291,33,24,15,1
2026-05-21,P007,3504,270,292,47,35,12,1
2026-05-21,P008,2196,224,244,41,27,10,1
2026-05-22,P001,4940,435,494,68,52,29,1
2026-05-22,P002,3960,367,440,78,65,25,0
2026-05-22,P003,3771,377,419,72,60,24,1
2026-05-22,P004,3048,314,381,54,44,23,1
2026-05-22,P005,4692,569,391,49,34,20,1
2026-05-22,P006,4212,392,351,56,42,18,1
2026-05-22,P007,1883,235,269,44,27,12,1
2026-05-22,P008,2380,300,238,42,27,7,1
2026-05-23,P001,4277,528,611,83,67,45,1
2026-05-23,P002,4256,367,532,88,66,30,0
2026-05-23,P003,5764,571,524,57,35,27,0
2026-05-23,P004,3017,263,431,53,43,23,0
2026-05-23,P005,4020,407,402,65,49,22,0
2026-05-23,P006,2792,323,349,48,32,15,1
2026-05-23,P007,2853,311,317,39,27,15,1
2026-05-23,P008,2128,242,266,37,26,9,0
2026-05-24,P001,6457,512,587,71,47,41,1
2026-05-24,P002,5180,470,518,73,61,34,1
2026-05-24,P003,3976,352,497,85,61,27,0
2026-05-24,P004,3325,331,475,66,51,23,0
2026-05-24,P005,4510,429,410,73,54,23,0
2026-05-24,P006,3410,439,341,35,22,14,0
2026-05-24,P007,2688,202,336,50,39,12,1
2026-05-24,P008,1848,135,264,28,20,9,0
2026-05-25,P001,5270,385,527,75,52,36,0
2026-05-25,P002,4670,490,467,74,49,29,1
2026-05-25,P003,2849,368,407,65,52,20,1
2026-05-25,P004,3312,410,414,42,33,25,1
2026-05-25,P005,2712,336,339,34,25,16,1
2026-05-25,P006,3150,369,315,29,18,13,0
2026-05-25,P007,3240,409,270,40,28,10,1
2026-05-25,P008,2450,288,245,30,23,7,1
2026-05-26,P001,3612,265,516,63,43,33,0
2026-05-26,P002,5856,510,488,70,50,32,1
2026-05-26,P003,4050,440,450,62,42,26,0
2026-05-26,P004,3861,276,429,75,50,26,0
2026-05-26,P005,3760,480,376,38,28,18,1
2026-05-26,P006,2691,269,299,44,35,13,1
2026-05-26,P007,2475,255,275,41,25,9,0
2026-05-26,P008,2540,247,254,37,30,8,1
2026-05-27,P001,3668,465,524,53,35,33,0
2026-05-27,P002,3832,382,479,74,54,28,1
2026-05-27,P003,4280,490,428,58,37,27,1
2026-05-27,P004,4356,459,363,50,39,19,1
2026-05-27,P005,4212,530,351,53,34,18,1
2026-05-27,P006,3150,338,315,38,24,14,1
2026-05-27,P007,3336,281,278,27,20,10,1
2026-05-27,P008,2200,253,275,43,35,8,1
2026-05-28,P001,5269,482,479,78,51,34,1
2026-05-28,P002,4024,515,503,77,61,29,1
2026-05-28,P003,5496,633,458,68,50,24,0
2026-05-28,P004,4120,507,412,45,36,20,0
2026-05-28,P005,2303,273,329,34,27,17,1
2026-05-28,P006,3576,418,298,44,34,14,1
2026-05-28,P007,2392,173,299,32,26,14,0
2026-05-28,P008,1547,159,221,32,25,8,0
2026-05-29,P001,5400,580,540,81,57,38,0
2026-05-29,P002,5580,713,465,63,47,32,1
2026-05-29,P003,3320,233,415,38,23,22,1
2026-05-29,P004,5076,548,423,73,60,20,1
2026-05-29,P005,2310,275,330,37,29,18,1
2026-05-29,P006,3380,401,338,57,45,16,1
2026-05-29,P007,2520,284,315,36,29,14,1
2026-05-29,P008,2856,329,238,24,19,7,1
2026-05-30,P001,6842,814,622,68,49,44,1
2026-05-30,P002,6660,676,555,92,70,34,1
2026-05-30,P003,6228,738,519,90,56,27,0
2026-05-30,P004,4257,492,473,52,40,23,1
2026-05-30,P005,4752,403,432,70,51,19,1
2026-05-30,P006,2408,241,344,36,25,14,1
2026-05-30,P007,4272,384,356,61,42,14,1
2026-05-30,P008,1967,238,281,27,20,10,1
2026-05-31,P001,6984,500,582,100,67,38,0
2026-05-31,P002,4011,445,573,73,50,33,1
2026-05-31,P003,5784,663,482,69,52,25,0
2026-05-31,P004,5220,402,435,69,48,27,0
2026-05-31,P005,4851,616,441,50,38,24,0
2026-05-31,P006,2800,244,350,34,27,18,1
2026-05-31,P007,2520,304,315,56,43,12,1
2026-05-31,P008,3223,276,293,33,22,13,1
2026-06-01,P001,3731,352,533,72,51,38,1
2026-06-01,P002,4820,370,482,69,48,29,1
2026-06-01,P003,2975,271,425,45,30,22,1
2026-06-01,P004,3320,272,415,61,50,21,1
2026-06-01,P005,3555,288,395,58,46,17,1
2026-06-01,P006,3078,277,342,48,30,16,1
2026-06-01,P007,3180,344,265,36,27,10,1
2026-06-01,P008,2620,311,262,30,24,9,1
2026-06-02,P001,4980,419,498,73,50,34,1
2026-06-02,P002,4470,518,447,47,37,29,1
2026-06-02,P003,4290,535,429,45,29,25,0
2026-06-02,P004,4968,422,414,66,41,23,1
2026-06-02,P005,2992,309,374,49,33,19,0
2026-06-02,P006,2848,353,356,47,37,14,0
2026-06-02,P007,2660,340,266,46,37,12,1
2026-06-02,P008,2313,243,257,45,31,12,1
2026-06-03,P001,4224,345,528,64,42,38,1
2026-06-03,P002,4550,371,455,41,28,29,1
2026-06-03,P003,4968,417,414,50,35,23,0
2026-06-03,P004,4268,339,388,65,54,23,1
2026-06-03,P005,4320,420,360,34,25,16,1
2026-06-03,P006,4128,511,344,56,39,13,1
2026-06-03,P007,3000,321,300,45,31,14,0
2026-06-03,P008,2520,241,252,25,16,9,0
2026-06-04,P001,6504,801,542,63,42,37,1
2026-06-04,P002,3591,300,513,67,44,31,0
2026-06-04,P003,3852,492,428,68,54,24,1
2026-06-04,P004,4536,472,378,58,41,21,1
2026-06-04,P005,4488,573,374,65,54,18,1
2026-06-04,P006,2303,231,329,48,40,17,1
2026-06-04,P007,3146,359,286,42,33,11,1
2026-06-04,P008,2827,229,257,42,30,9,1
2026-06-05,P001,5797,593,527,92,72,37,1
2026-06-05,P002,3311,289,473,72,46,27,1
2026-06-05,P003,4730,467,473,53,39,25,0
2026-06-05,P004,4070,337,370,33,27,18,1
2026-06-05,P005,4548,521,379,66,50,17,1
2026-06-05,P006,3380,425,338,49,38,17,0
2026-06-05,P007,2637,250,293,29,23,12,1
2026-06-05,P008,2840,236,284,36,24,11,1
2026-06-06,P001,4039,341,577,85,63,40,1
2026-06-06,P002,3983,466,569,84,53,33,1
2026-06-06,P003,4940,457,494,76,54,25,1
2026-06-06,P004,4239,385,471,69,44,26,1
2026-06-06,P005,4488,575,408,65,47,21,1
2026-06-06,P006,3850,288,350,53,34,18,0
2026-06-06,P007,4140,458,345,58,46,15,1
2026-06-06,P008,3102,397,282,33,22,9,1
2026-06-07,P001,5229,421,581,96,68,39,1
2026-06-07,P002,4109,361,587,97,78,32,0
2026-06-07,P003,3822,297,546,60,40,35,1
2026-06-07,P004,4536,329,504,65,45,26,1
2026-06-07,P005,2982,369,426,43,33,25,1
2026-06-07,P006,3208,351,401,65,42,17,1
2026-06-07,P007,2576,244,368,38,26,16,1
2026-06-07,P008,2177,162,311,49,39,9,1
2026-06-08,P001,4930,598,493,82,53,29,0
2026-06-08,P002,4700,425,470,79,63,27,1
2026-06-08,P003,4710,368,471,61,39,28,1
2026-06-08,P004,4120,503,412,50,39,25,1
2026-06-08,P005,2604,198,372,62,48,19,1
2026-06-08,P006,3040,248,304,41,27,14,0
2026-06-08,P007,2592,280,324,51,35,16,1
2026-06-08,P008,1813,128,259,33,25,11,1
2026-06-09,P001,3465,408,495,53,44,35,1
2026-06-09,P002,6108,678,509,71,49,35,1
2026-06-09,P003,5448,429,454,75,54,25,1
2026-06-09,P004,3456,357,384,59,39,20,1
2026-06-09,P005,3160,266,395,66,53,21,1
2026-06-09,P006,2970,344,297,30,22,16,0
2026-06-09,P007,3575,356,325,33,25,14,1
2026-06-09,P008,3336,340,278,28,17,11,1
2026-06-10,P001,4456,538,557,58,41,40,0
2026-06-10,P002,5856,729,488,81,56,33,1
2026-06-10,P003,4972,379,452,71,45,26,1
2026-06-10,P004,5232,387,436,59,44,20,1
2026-06-10,P005,2730,283,390,37,26,18,1
2026-06-10,P006,4128,368,344,50,38,17,1
2026-06-10,P007,3372,265,281,30,23,13,0
2026-06-10,P008,2288,226,286,44,34,11,1
2026-06-11,P001,5230,546,523,61,45,31,1
2026-06-11,P002,5720,534,520,88,66,29,1
2026-06-11,P003,4631,576,421,52,35,25,1
2026-06-11,P004,4642,352,422,53,37,23,1
2026-06-11,P005,4416,504,368,49,31,16,1
2026-06-11,P006,4140,315,345,45,32,16,1
2026-06-11,P007,3780,399,315,37,26,14,0
2026-06-11,P008,2900,333,290,43,34,10,1
2026-06-12,P001,6017,715,547,63,44,37,0
2026-06-12,P002,5170,471,470,57,37,32,1
2026-06-12,P003,3712,263,464,78,49,30,1
2026-06-12,P004,3402,286,378,38,29,21,0
2026-06-12,P005,3470,405,347,42,26,16,0
2026-06-12,P006,3443,297,313,45,33,14,1
2026-06-12,P007,2191,277,313,53,44,12,0
2026-06-12,P008,1939,218,277,30,23,9,1
2026-06-13,P001,5616,713,624,58,43,38,1
2026-06-13,P002,6534,829,594,89,59,38,1
2026-06-13,P003,6480,695,540,87,64,35,0
2026-06-13,P004,4248,379,472,59,49,26,1
2026-06-13,P005,4122,292,458,75,57,24,0
2026-06-13,P006,2842,308,406,39,24,21,1
2026-06-13,P007,2961,242,329,44,29,12,1
2026-06-13,P008,3564,416,324,53,38,12,1
2026-06-14,P001,6347,572,577,61,38,34,1
2026-06-14,P002,4504,519,563,85,68,36,1
2026-06-14,P003,3633,270,519,67,48,28,1
2026-06-14,P004,4540,454,454,45,33,25,0
2026-06-14,P005,3227,269,461,47,37,22,1
2026-06-14,P006,3112,279,389,41,29,18,0
2026-06-14,P007,3120,370,312,31,21,13,1
2026-06-14,P008,2160,272,270,44,29,11,1
2026-06-15,P001,3992,372,499,46,32,35,1
2026-06-15,P002,4640,560,464,62,48,30,1
2026-06-15,P003,3632,402,454,56,44,24,1
2026-06-15,P004,4411,454,401,41,30,21,1
2026-06-15,P005,3114,237,346,60,38,17,1
2026-06-15,P006,3916,393,356,63,48,18,1
2026-06-15,P007,3708,440,309,51,38,11,1
2026-06-15,P008,2044,200,292,28,19,10,1
2026-06-16,P001,4208,429,526,82,61,33,1
2026-06-16,P002,3944,494,493,65,42,28,1
2026-06-16,P003,3780,424,420,48,29,23,1
2026-06-16,P004,4992,645,416,43,30,23,1
2026-06-16,P005,2583,187,369,63,41,19,1
2026-06-16,P006,3839,284,349,61,39,17,1
2026-06-16,P007,3100,341,310,31,20,13,0
2026-06-16,P008,2268,292,252,28,23,10,1
2026-06-17,P001,6384,771,532,82,54,32,0
2026-06-17,P002,5280,650,480,61,37,32,1
2026-06-17,P003,4400,412,440,58,38,25,1
2026-06-17,P004,4697,489,427,57,39,22,1
2026-06-17,P005,2877,256,411,68,51,18,0
2026-06-17,P006,3960,308,330,38,27,14,0
2026-06-17,P007,2480,206,310,51,39,11,1
2026-06-17,P008,2320,194,290,40,24,9,1
2026-06-18,P001,4896,355,544,72,54,38,0
2026-06-18,P002,5511,681,501,74,53,33,1
2026-06-18,P003,3400,402,425,52,38,26,1
2026-06-18,P004,2842,260,406,55,38,21,0
2026-06-18,P005,3429,432,381,40,30,21,1
2026-06-18,P006,4008,395,334,56,44,18,1
2026-06-18,P007,3228,399,269,27,17,11,1
2026-06-18,P008,2358,244,262,46,36,11,1
2026-06-19,P001,6408,583,534,70,48,38,0
2026-06-19,P002,4590,358,510,54,35,31,0
2026-06-19,P003,3728,335,466,42,31,30,0
2026-06-19,P004,3465,338,385,63,39,22,1
2026-06-19,P005,3820,375,382,66,48,20,0
2026-06-19,P006,2456,265,307,44,35,13,1
2026-06-19,P007,3135,256,285,41,25,13,0
2026-06-19,P008,3096,368,258,29,21,11,1
2026-06-20,P001,6360,572,636,65,51,40,0
2026-06-20,P002,4672,409,584,78,53,38,1
2026-06-20,P003,3696,462,528,59,41,27,1
2026-06-20,P004,5808,476,484,65,46,28,1
2026-06-20,P005,4972,571,452,51,38,24,1
2026-06-20,P006,4200,487,420,62,39,21,1
2026-06-20,P007,2191,173,313,45,30,13,1
2026-06-20,P008,3888,497,324,44,30,12,1
2026-06-21,P001,4410,448,630,98,78,46,0
2026-06-21,P002,5373,378,597,58,47,41,1
2026-06-21,P003,3500,416,500,89,63,26,1
2026-06-21,P004,5160,663,516,89,66,29,0
2026-06-21,P005,3213,290,459,73,48,25,1
2026-06-21,P006,2758,272,394,70,45,16,1
2026-06-21,P007,2562,213,366,39,24,13,1
2026-06-21,P008,3792,299,316,48,35,13,1
2026-06-22,P001,3724,425,532,69,52,32,1
2026-06-22,P002,5100,521,510,59,37,34,1
2026-06-22,P003,3437,264,491,45,36,30,1
2026-06-22,P004,3400,259,425,50,32,20,0
2026-06-22,P005,3114,373,346,61,46,15,1
2026-06-22,P006,2576,228,368,60,45,17,0
2026-06-22,P007,2320,164,290,32,23,12,1
2026-06-22,P008,2367,237,263,26,16,9,1
2026-06-23,P001,5570,481,557,66,49,36,0
2026-06-23,P002,5688,431,474,78,60,30,1
2026-06-23,P003,4697,522,427,69,48,23,1
2026-06-23,P004,2723,312,389,55,38,21,1
2026-06-23,P005,4015,428,365,53,36,19,1
2026-06-23,P006,3905,274,355,36,29,17,1
2026-06-23,P007,3124,350,284,49,36,14,1
2026-06-23,P008,2009,219,287,32,22,11,1
2026-06-24,P001,4869,436,541,88,69,36,1
2026-06-24,P002,3633,352,519,88,59,34,0
2026-06-24,P003,3840,475,480,45,30,30,1
2026-06-24,P004,4356,473,396,40,30,19,1
2026-06-24,P005,3195,345,355,46,37,17,0
2026-06-24,P006,2632,325,329,46,34,16,1
2026-06-24,P007,1953,166,279,42,34,12,0
2026-06-24,P008,1764,145,252,27,18,10,1
2026-06-25,P001,5040,633,504,86,57,31,0
2026-06-25,P002,4608,586,512,58,48,33,1
2026-06-25,P003,3241,263,463,72,52,23,0
2026-06-25,P004,3861,347,429,73,58,26,0
