campaign_id,date,product_id,campaign_type,discount_cost,attributed_gmv,baseline_gmv
CMP-20260617,2026-06-17,P008,周末增长,213.0,3550.05,2975.1
CMP-20260618,2026-06-18,P001,周末增长,431.73,7195.51,6648.42
CMP-20260618,2026-06-18,P002,周末增长,762.59,12709.9,10962.49
CMP-20260618,2026-06-18,P003,周末增长,241.51,4025.2,3811.97
CMP-20260618,2026-06-18,P004,周末增长,181.52,3025.4,2502.29
CMP-20260618,2026-06-18,P005,周末增长,115.21,1920.21,1663.09
CMP-20260618,2026-06-18,P006,周末增长,82.09,1368.16,1175.6
CMP-20260618,2026-06-18,P007,周末增长,191.65,3194.14,2650.23
CMP-20260618,2026-06-18,P008,周末增长,254.68,4244.71,3696.85
CMP-20260701,2026-07-01,P001,周末增长,438.34,7305.7,6363.41
CMP-20260701,2026-07-01,P002,周末增长,706.85,11780.79,11132.76
CMP-20260701,2026-07-01,P003,周末增长,267.72,4462.04,3784.27
CMP-20260701,2026-07-01,P004,周末增长,150.16,2502.64,2317.99
CMP-20260701,2026-07-01,P005,周末增长,85.54,1425.64,1305.1
CMP-20260701,2026-07-01,P006,周末增长,87.39,1456.57,1344.42
CMP-20260701,2026-07-01,P007,周末增长,182.85,3047.44,2787.0
CMP-20260701,2026-07-01,P008,周末增长,273.8,4563.4,4049.86
CMP-20260702,2026-07-02,P001,周末增长,453.21,7553.48,6871.31
CMP-20260702,2026-07-02,P002,周末增长,572.7,9545.06,8418.3
CMP-20260702,2026-07-02,P003,周末增长,252.43,4207.24,3868.39
CMP-20260702,2026-07-02,P004,周末增长,207.28,3454.6,3135.02
CMP-20260702,2026-07-02,P005,周末增长,104.78,1746.26,1432.7
CMP-20260702,2026-07-02,P006,周末增长,86.09,1434.79,1176.65
CMP-20260702,2026-07-02,P007,周末增长,178.63,2977.16,2671.97
CMP-20260702,2026-07-02,P008,周末增长,207.39,3456.44,2867.05
CMP-20260715,2026-07-15,P001,周末增长,435.06,7251.01,6252.14
CMP-20260715,2026-07-15,P002,周末增长,586.17,9769.51,9091.83
CMP-20260715,2026-07-15,P003,周末增长,273.93,4565.43,3783.33
CMP-20260715,2026-07-15,P004,周末增长,210.54,3508.93,2929.56
CMP-20260715,2026-07-15,P005,周末增长,136.38,2272.99,2025.76
CMP-20260715,2026-07-15,P006,周末增长,76.04,1267.4,1107.39
CMP-20260715,2026-07-15,P007,周末增长,219.1,3651.62,3454.62
CMP-20260715,2026-07-15,P008,周末增长,181.78,3029.63,2532.87
